,time,heat_cons,elec_cons_high,elec_cons_low,irrigation_water,draom_water
0,43815,2.71,1.1,0.0,0.0,0.0
1,43816,0.92,1.0,0.0,0.0,0.0
2,43817,0.97,1.0,0.7,0.0,0.0
3,43818,0.1,0.9,0.5,0.0,0.0
4,43819,2.24,0.8,0.5,0.76,0.0
5,43820,3.38,0.8,0.6,0.52,0.0
6,43821,3.24,0.8,0.6,0.52,0.0
7,43822,3.0,0.8,0.6,0.24,6.11
8,43823,2.67,1.0,0.6,1.08,0.19
9,43824,2.72,1.0,0.6,4.32,0.19
10,43825,2.85,1.0,0.6,1.44,0.19
11,43826,3.11,1.1,0.6,1.44,0.19
12,43827,3.23,1.5,0.9,0.72,0.38
13,43828,3.44,1.0,0.6,0.72,0.4
14,43829,3.42,1.0,0.6,0.72,1.05
15,43830,2.85,1.0,0.6,2.16,0.77
16,43831,3.32,1.0,0.6,2.16,1.02
17,43832,3.34,1.3,0.6,2.16,1.03
18,43833,3.24,1.4,0.6,1.68,0.53
19,43834,2.87,1.5,0.9,1.68,0.4
20,43835,2.96,1.5,0.9,1.68,0.42
21,43836,3.36,1.3,0.6,1.44,0.09
22,43837,4.27,1.3,0.6,1.92,0.56
23,43838,2.55,1.3,0.6,1.92,0.71
24,43839,2.71,1.3,0.6,1.92,0.81
25,43840,4.11,1.3,0.6,2.16,0.51
26,43841,4.17,1.3,0.6,2.16,0.27
27,43842,4.04,1.3,0.6,2.16,0.25
28,43843,3.72,1.3,0.6,2.16,0.27
29,43844,2.44,1.5,0.9,2.16,0.37
30,43845,2.91,1.5,0.9,2.16,0.4
31,43846,3.41,1.2,0.9,2.16,0.45
32,43847,2.98,1.4,0.9,2.16,0.43
33,43848,3.95,1.3,0.8,2.16,0.14
34,43849,4.38,1.4,0.6,2.64,0.08
35,43850,3.47,1.5,0.9,2.16,0.3
36,43851,4.16,1.5,0.9,2.16,0.24
37,43852,3.73,1.5,0.9,2.16,0.13
38,43853,2.87,1.5,0.9,2.16,0.19
39,43854,3.13,1.5,0.9,2.88,0.23
40,43855,3.32,1.5,0.9,2.64,0.48
41,43856,2.87,1.5,0.9,3.36,0.67
42,43857,2.6,1.5,0.9,3.6,1.35
43,43858,3.57,1.5,0.9,3.36,1.2
44,43859,3.16,1.5,0.9,3.12,1.11
45,43860,2.51,1.5,0.9,3.12,1.07
46,43861,2.3,1.5,0.9,2.88,1.12
47,43862,2.46,1.5,0.9,2.88,1.05
